id,nareas,turtle,openwater,depth,canopy,forest,VP,razz,shroom,herb,slug,worm,em,fowet,riv,ss,ub,upland,edgefine,edgecoarse,Pafine,Pacoarse,strlen,distlotic,distH2O,distfowet,distupland
1,3,1,0,0.586667,35.04333,0.22,0.066667,0,0.09,1.78,0.066667,0.166667,0.083333,0.023333,0,0.733333,0,0.153333,127.6667,119.6667,0.016667,0.016667,61.33333,29.33333,29.33333,140.3333,47
2,3,1,0.036667,0.426667,28.95333,0.206667,0.1,0,0.066667,2.213333,0.066667,0.246667,0.66,0,0.003333,0.333333,0,0,45,9.333333,0.006667,0,108.3333,29.33333,29.33333,182.3333,118.6667
3,3,1,0.2,0.616667,41.97333,0.506667,0.69,0.09,0.133333,1.55,0.113333,0.236667,0.223333,0.483333,0.193333,0.093333,0,0,138.3333,139.3333,0.02,0.02,50.33333,32.66667,32.66667,10,142
4,3,1,0.026667,0.246667,51.88667,0.506667,0,0.083333,0.056667,1.716667,0.216667,0.3,0.383333,0.33,0.036667,0.23,0,0.013333,160,106.6667,0.02,0.013333,63.66667,29.66667,29.66667,174.3333,91.33333
5,1,1,0,0.52,30,0.17,0,0.04,0.07,2.31,0.3,0.11,0.43,0,0,0.57,0,0,172,95,0.02,0.01,15,48,48,199,122
6,1,1,0.11,0.59,42.59,0.33,0,0.04,0.04,1.07,0.08,0.31,0.49,0,0.38,0.12,0,0,183,183,0.02,0.02,86,4,4,294,51
7,2,1,0.02,0.25,52.29,0.415,0.02,0.02,0.165,1.815,0.145,0.19,0,0.45,0,0.4,0,0.15,153.5,99.5,0.015,0.01,89,18,18,22,26.5
8,1,1,0.2,0.67,53.67,0.53,0.27,0,0.17,1.2,0.13,0.33,0,0,0,0,0.04,0.95,48,48,0.01,0.01,0,54,40,375,0
9,2,1,0,0.5,31.665,0.585,0.085,0,0,1.25,0,0.175,0.06,0,0.275,0.135,0.065,0.46,209.5,209.5,0.025,0.025,58.5,15,3.5,60,7.5
10,2,1,0.34,0.76,45.8,0.4,0,0,0.18,0.8,0.2,0.1,0,0.75,0.245,0,0,0,150,59.5,0.02,0.005,66,18.5,18.5,0.5,75.5
12,3,1,0.083333,0.7,67.11,0.44,0,0.023333,0.193333,1.366667,0.15,0.023333,0,0,0.206667,0.18,0.153333,0.453333,118,118,0.013333,0.013333,0,56.33333,30.33333,251.3333,21.66667
13,2,1,0.215,0.93,45.475,0.32,0,0.025,0.11,1.375,0.215,0.35,0.45,0,0.24,0.11,0,0.19,142,142,0.015,0.015,0,22.5,22.5,349.5,20.5
14,3,1,0.153333,0.566667,41.59333,0.48,0.2,0,0.113333,1.33,0.056667,0,0.293333,0,0,0.126667,0.193333,0.376667,144.3333,144.3333,0.016667,0.016667,0,149.6667,50,220.3333,20.33333
15,3,1,0,0.39,42.27667,0.416667,0,0,0.183333,1.71,0.063333,0,0.203333,0,0,0.386667,0,0.41,98.33333,98.33333,0.01,0.01,0,110,110,165.3333,7.333333
16,1,1,0,0.61,83.04,0.52,0,0,0.43,0.96,0.3,0.83,0,0,0,0,0,0.99,0,0,0,0,96,15,15,202,0
17,3,1,0.223333,1.19,41.51,0.38,0,0,0.103333,1.056667,0.156667,0.056667,0,0,0,0.183333,0.273333,0.536667,124.6667,124.6667,0.013333,0.013333,0,199.6667,20,217.6667,9.666667
18,3,1,0.043333,0.396667,45.38,0.373333,0,0.043333,0.153333,1.256667,0.09,0.126667,0.22,0,0,0.73,0.033333,0.013333,145,103.3333,0.016667,0.013333,73.66667,75.33333,75.33333,95,62
19,3,1,0.046667,0.823333,50.39667,0.366667,1,0.246667,0,1.82,0.166667,0.27,0.243333,0.26,0.126667,0.36,0,0,167.3333,141.6667,0.02,0.016667,67,40,40,77.66667,185.3333
20,3,1,0,0.4,30.66667,0.1,0.1,0.106667,0.066667,1.633333,0.273333,0.826667,0.666667,0,0,0.256667,0.07,0,151,130.3333,0.02,0.016667,148,10.33333,4.666667,108.3333,101.6667
21,1,1,0,0.22,13.33,0.33,0,0,0,2.33,0.22,0.33,0.71,0,0,0.29,0,0,106,106,0.01,0.01,80,36,36,183,156
22,2,1,0,0.83,25.555,0.115,0,0,0,1.69,0.145,0.205,0.295,0,0,0.705,0,0,88.5,48,0.01,0.005,151.5,16,16,188.5,121
23,2,1,0,0.48,46.73,0.28,0,0.02,0.11,1.335,0.175,0.065,0.345,0,0,0.61,0,0.04,148,129.5,0.015,0.015,171.5,22.5,22.5,83,48
24,2,1,0,0.605,24.975,0.03,0,0,0.03,2.295,0.12,0,0.245,0,0,0.75,0,0,86.5,82,0.01,0.01,39,92.5,92.5,148.5,103.5
25,1,1,0.13,0.52,47,0.52,0,0.03,0.07,1.3,0.13,0.3,0.15,0,0.41,0.03,0,0.4,222,165,0.03,0.02,34,1,1,310,0
26,2,1,0,0.63,58.335,0.62,0.09,0.115,0.3,1.485,0.37,0.635,0.53,0.085,0,0.115,0.105,0.16,200.5,200.5,0.025,0.025,99.5,6.5,6.5,69,52.5
28,2,1,0,0.565,51.105,0.225,0.18,0,0.09,1.19,0.395,0.535,0,0.495,0,0.46,0,0.035,115,28.5,0.015,0.005,80,23,23,78,61.5
29,2,1,0,0.695,34.645,0.135,0,0.175,0,2.37,0.175,0.14,0.99,0,0,0,0,0,72.5,0,0.01,0,6.5,71,71,335,350
30,2,1,0,0.165,62.31,0.395,0,0.075,0.155,1.48,0.355,0.51,0.295,0,0,0.25,0,0.445,89.5,75.5,0.01,0.01,116.5,21.5,21.5,141.5,31.5
31,2,1,0.025,0.35,21.43,0.235,0,0.055,0,2.39,0.105,0.165,0.75,0,0,0.135,0,0.105,113.5,113.5,0.015,0.015,0,63,63,256.5,34.5
32,3,1,0.043333,0.49,49.63,0.416667,0,0,0.126667,1.53,0.306667,0.14,0,0,0,0.48,0,0.51,139.3333,61.66667,0.016667,0.006667,115,19.66667,19.66667,142,10.33333
33,3,1,0,0.366667,51.16667,0.46,0,0.023333,0.193333,1.09,0.096667,0.023333,0.25,0,0,0.366667,0.033333,0.34,62,42.66667,0.01,0.006667,54,180.6667,180.6667,168.6667,38
34,2,1,0.035,0.285,52.89,0.26,0.075,0.035,0.035,0.865,0.195,0.21,0.485,0,0,0.17,0.085,0.255,130.5,130.5,0.02,0.02,117,18.5,18.5,81,31
35,1,1,0,0.41,43.64,0.36,0.18,0,0.23,1.95,0.05,0,0.2,0,0,0,0,0.79,83,82,0.01,0.01,0,128,128,173,0
37,1,1,0.14,0.93,58.57,0.43,0,0,0.14,1.57,0.14,0,0,0,0,0.19,0.22,0.59,153,153,0.02,0.02,0,205,6,218,0
38,2,1,0,0.075,35.835,0.205,0,0.025,0.08,2.49,0.155,0.26,0.935,0.055,0,0,0,0,43.5,43.5,0.005,0.005,0,66,66,45,112.5
39,2,1,0.03,0.97,36.565,0.095,0,0.235,0.035,1.635,0.26,0.41,0.575,0.15,0,0.26,0.005,0,113.5,113.5,0.015,0.015,52,57.5,57.5,39.5,354
46,1,1,0,0.6,35,0.15,0,0,0.2,1.2,0,0,0,0,0,0.99,0,0.01,133,28,0.02,0,0,171,171,107,46
2001,1,0,0.47,0.67,63.33,0.33,0,0,0.6,1.8,0.13,0,0,0,0,0.88,0,0.11,171,72,0.02,0.01,0,79,79,79,32
2002,1,0,0,0.27,82,0.73,0,0.07,0.4,0.93,0,0.07,0.19,0,0,0.61,0,0.19,176,176,0.02,0.02,0,81,81,108,23
2003,1,0,0.33,0.27,46.67,0.6,0,0.07,0.2,1.6,0,0.07,0.28,0,0,0,0,0.72,92,92,0.01,0.01,0,64,64,510,0
2004,1,0,0.73,0.6,22,0.07,0,0,0.13,2.33,0,0,0.99,0,0,0,0,0,0,0,0,0,0,90,90,89,708
2005,1,0,0,0,79.33,1,0,0.07,0.73,1.8,0.2,0,0,0,0,0,0,0.99,0,0,0,0,0,134,134,232,0
2006,1,0,0.8,0.6,6,0,0,0,0.07,2.4,0.07,0,0,0,0,0.99,0,0,0,0,0,0,0,143,143,112,210
2007,1,0,0.8,0.67,0,0,0,0,0,2.4,0,0,0,0,0,0.99,0,0,0,0,0,0,0,234,234,173,376
2008,1,0,0,0,68.67,0.87,0,0,0.67,1.13,0,0,0,0.83,0,0.17,0,0,154,104,0.02,0.01,0,180,180,0,366
2009,1,0,0.47,0.47,40.67,0.47,0,0.07,0,1.93,0.07,0,0.12,0,0.08,0.79,0,0,144,144,0.02,0.02,0,33,33,49,207
2011,1,0,0.13,0.33,70,0.87,0,0.07,0.33,1,0,0,0,0,0.19,0,0,0.8,85,85,0.01,0.01,0,22,22,162,0
2014,1,0,0.47,1.47,26.67,0,0,0.33,0,1.33,0,0,0.76,0,0.24,0,0,0,88,88,0.01,0.01,76,8,8,93,189
2015,1,0,0.2,0.87,52,0.67,0.27,0.53,0.2,1.73,0.07,0.27,0.5,0.38,0.11,0,0,0,172,172,0.02,0.02,0,32,32,7,226
2016,1,0,0.33,0.93,46.67,0.67,0,0,0.2,0.73,0,0.07,0,0,0.23,0.03,0.02,0.72,156,156,0.02,0.02,0,19,19,327,0
2017,1,0,0.27,1.07,47.33,0.07,0,0.27,0.13,2.13,0.07,0.07,0.61,0,0.39,0,0,0,167,98,0.02,0.01,0,6,6,48,591
2018,1,0,0.73,0.2,13.33,0,0,0,0,0.8,0,0,0.49,0,0.5,0,0,0,101,101,0.01,0.01,0,3,3,54,217
2020,1,0,0.33,0.67,58,0.6,0,0.33,0.33,0.67,0,0,0,0,0.01,0.68,0,0.31,143,143,0.02,0.02,0,47,47,86,0
2021,1,0,0.07,0.13,52,0.73,0,1.07,0.07,2.13,0,0.07,0.81,0.01,0.02,0.16,0,0,150,150,0.02,0.02,0,43,43,45,49
2022,1,0,0.2,0.73,53.33,0.53,0,0.07,0.07,1.47,0.07,0.2,0,0,0,0.68,0,0.32,178,109,0.02,0.01,69,26,26,48,17
2023,1,0,0.2,0.07,7.33,0,0,0,0.13,2.47,0,0,0.69,0,0,0.31,0,0,93,93,0.01,0.01,0,68,68,98,710
2024,1,0,0.4,0.8,48.67,0,0,0.6,0,1.4,0.07,0.13,0.65,0,0.34,0,0,0,169,97,0.02,0.01,0,11,11,256,206
2025,1,0,0.27,0.47,52.67,0.67,0.87,0.13,0.13,1.6,0.13,0,0,0,0.28,0.71,0,0,95,95,0.01,0.01,0,17,17,69,99
2026,1,0,0.2,0.8,69.33,0.8,0,0,0.47,1,0.07,0,0,0,0.12,0,0,0.88,78,78,0.01,0.01,0,32,32,193,0
2027,1,0,0.4,0.53,18.67,0.07,0,0.13,0,1.53,0.13,0.07,0.77,0,0.22,0,0,0,85,85,0.01,0.01,0,19,19,71,232
2028,1,0,0,0,66,0.67,0,0.47,0.2,2.13,0.13,0.27,0.03,0.77,0,0.2,0,0,127,127,0.02,0.02,0,68,68,0,338
2029,1,0,0,0,32.67,0.33,0,1.13,0.07,1.6,0.07,0,0,0,0,0,0,0.99,0,0,0,0,0,247,247,156,0
2032,1,0,0.07,0,71.33,1,0,0,0.93,1.93,0,0.2,0,0,0,0,0,1,0,0,0,0,0,56,56,153,0